,ルーツ,アーツ名,種別,最大Lv,タイミング,判定値,対象,射程,コスト,効果,ルーツ
AD,着装者,エクセリオンチャージ,20、魔獣、攻撃,1,メジャー,【白兵】【射撃】,単体,武器,愛,対象に着装者装備を使用した白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+[【肉体】+5]する。《フォトンチャージ》を使用したメインプロセス中のみ使用でき、1シーンに1回まで使用できる。,着装者
AD,着装者,凄まじき殲士,0、魔獣,1,解放状態,自動成功,自身,なし,9,取得には《古代戦士》が必要。そのシーン中、あなたが行なう判定の達成値に+2、DRに+【肉体】し、あなたが行なう攻撃の命中判定に罪の効果を使用して達成値を増大させた場合、その攻撃に対してはドッジが行なえない。1シナリオに1回まで使用できる。,着装者
AD,着装者,夢の守り人,0、魔獣,1,効果参照,自動成功,自身,なし,0,取得には《着装機攻》が必要。《サクリファイスクライ》と同時に使用する。その効果で失う人間性と【FP】を最大[《サクリファイスクライ》のLv×6]点に変更する。,着装者
AD,着装者,機攻の王,純血,3,常時,自動成功,自身,なし,Lv×2,《着装機攻》を装備中、あなたの【肉体】と【技術】を+[Lv+1]し(【FP】は変化しない)、《反救世主殲滅機構》の最大Lvを+[このアーツのLv+2]する。,着装者
メタモーファー - 銀河中心に位置する王国“アイアンクラッド”からやってきた機械生命体(『アドヴェント』にて追加)。,,,,,,,,,,,
AD,メタモーファー,形態：ヴィークル,選択,1,イニシアチブ,自動成功,自身,なし,1,プリプレイで常備化している乗り物一つを指定せよ。このアーツを使用すると、あなたはその乗り物を即座に装備する(他の手段では装備不可)。またはその乗り物の装備を解除する。装備中あなたは武器による白兵攻撃を行なえず(乗り物は可)、ムーブアクションで離脱移動できる。このアーツはシーン登場時にも使用可能。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,形態：ウェポン,選択,1,イニシアチブ,自動成功,自身,なし,1,プリプレイで常備化している武器ひとつを指定し、その命中を+1、攻撃力を+1D6。このアーツを使用すると、あなたはその武器を即座に装備する(他の手段では装備不可)。またはその武器の装備を解除する。装備中、あなたは他の武器と乗り物を装備も使用もできず、ムーブアクションを行なえない。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,形態：ツール,選択,1,イニシアチブ,自動成功,自身,なし,1,プリプレイで常備化している「種別：その他」のアイテムひとつを指定する。このアーツを使用すると、あなたはそのアイテムそのものの外見となり、魔物であると認識されない。降下中、情報収集判定に達成値に+2。再びこのアーツを使用するか、情報収集判定を除く判定を行なうと解除される。このアーツはシーン登場時にも使用可能。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,形態：ビースト,選択、コピー,1,イニシアチブ,自動成功,自身,なし,1,取得時にネイバーの「タイミング：常時」以外のアーツひとつをコピーする。コピーしたアーツのコストは+1される。このアーツを使用すると、そのシーン中あなたはコピーしたアーツを使用可能になり、「種別：亜人」としても扱われる。またはこれらの効果を解除する。このアーツはシーン登場時にも使用可能。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,ウェポンユニゾン,魔獣,1,効果参照,自動成功,単体,至近,2,《形態：ウェポン》と同時に使用し、その効果中のみ有効。あなたは同意した対象と同調状態となる。この同調状態の間、対象は《形態：ウェポン》で指定した武器と同じデータを持つアイテムを装備している者として扱い(攻撃力などはあなたの【基本能力値】から算出する)あなたと対象が武器で行なう攻撃のダメージを+1D6する。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,機獣咆哮,魔獣,1,マイナー,自動成功,自身,なし,3,《形態：ビースト》の効果中のみ使用可能。そのメインプロセス中、あなたが行なう白兵攻撃のダメージに+【肉体】する。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,諜報機兵,なし,1,効果参照,自動成功,自身,なし,2,《形態：ツール》と同時に使用する。あなたは隠密状態となる。1シーンに1回使用可能。この隠密状態で攻撃を宣言した場合、その攻撃の命中判定に+2する。このアーツを取得した場合、あなたは《マシンアシスト》を「タイミング：判定の直後」としても使用できる。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,トランスフォームアタック,魔獣、攻撃,1,メジャー,【白兵】【射撃】,単体,武器,2,《形態：ヴィークル》を取得時のみ使用可能。あなたはダメージに+【技術B】して白兵攻撃か射撃攻撃を行なう。攻撃の直前に《形態：ヴィークル》を即座に使用してもよい。その場合、攻撃後に通常移動が離脱移動を行なってもよい。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,マシンパーソナリティ,魔獣,1,常時,自動成功,自身,なし,2,取得時に「勇猛」「冷静」「狡猾」「快活」からひとつ選ぶ。《魔獣化》中、以下の修正を得る。・勇猛：【白兵値】+2、【回避値】-1　・冷静【射撃値】+2、【白兵値】-1　・狡猾【回避値】+2、【行動値】-2　・快活【行動値】+5、【射撃値】-1,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,リカバードチェンジ,魔獣、防御,3,DR直後,自動成功,自身,なし,2,あなたは《形態：●●》を即座に使用するか、その効果を解除する。そうした場合、あなたが受けるダメージを-[【技術】+1D6]し、あなたはそのDRでBSを受けない。1ラウンドにLv回まで使用できる。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,私にいい考えがある,なし,1,判定直前,自動成功,単体,シーン,3,同意した対象が行なう判定のクリティカル値を-1、ファンブル値を+2する。1ラウンドに1回まで使用できる。このアーツを取得時、《機魂覚醒》の効果中は命中判定の達成値+2。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,アグレッシブビースト,20、魔獣、攻撃,1,メジャー,【白兵】,単体,武器,愛,《形態：ビースト》の効果中のみ使用できる。対象に白兵攻撃を行なう。この攻撃のダメージに+[【肉体】×2]し、この攻撃に対してはガードを行なえない。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,勝利の鍵,20、魔獣,1,効果参照,自動成功,自身,なし,愛,《形態：ツール》の効果中、あなたが「種別：回復」「種別：支援」「種別：防御」のアーツを使用する際に使用する。そのアーツを「対象：シーン」「射程：シーン」に変更するか、効果に+【技術】する。1シーンに1回まで使用可能。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,不滅のボディ,20、魔獣,1,効果参照,自動成功,自身,なし,愛,取得には《形態：ヴィークル》が必要。あなたにダメージが適用された直後に使用する。そのダメージであなたの【FP】が0以下になる場合、あなたの【FP】は代わりに1となる。1シナリオに1回まで使用可能。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,ユニゾンバスター,20、魔獣、支援,1,判定直前,自動成功,単体,至近,愛,《形態：ウェポン》の降下中、同じエンゲージに味方がいる時のみ使用可能。対象が《形態：ウェポン》で指定した武器で行なう攻撃の命中判定に+【記述B】、ダメージ+[【技術】×3]する。1シナリオに1回まで使用可能。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,勇気ある突撃,0、魔獣、攻撃,1,メジャー,【白兵】【射撃】,単体,武器,罪,対象に白兵攻撃か射撃攻撃を行なう。この攻撃のDRに+[【FP】最大値-【FP】]する。この攻撃のDRはあなたにも適用される。1シナリオに1回まで使用でき、対象は単体から変更できない。,ﾒﾀﾓｰﾌｧｰ
AD,メタモーファー,機魂覚醒,純血、魔獣,1,常時,自動成功,自身,なし,3,解放状態の間、あなたが選択した《マシンパーソナリティ》の効果に応じた以下の効果を得る。　・勇猛：白兵攻撃のダメージ+10　・冷静：射撃攻撃のダメージ+10　・狡猾：ドッジの達成値+4　・快活：あらゆる判定の達成値+2,ﾒﾀﾓｰﾌｧｰ
継承者 - かつての戦争で逆転の切り札として開発され、だがさまざまな理由でその存在を表沙汰にされることなく終戦を迎えた未完にして禁断の兵器体系。現代に蘇ったそれらを扱うルーツが継承者である。,,,,,,,,,,,
GF196,継承者,忌むべき遺産,自動、ア,1,常時,自動成功,自身,なし,4,あなたは「購入：-/-」の封印兵器ひとつを選び取得する。あなたが迫害状態の間、これらを装備して行なう攻撃のダメージに+1D6。,継承者
GF196,継承者,牙持たぬ人のために,魔獣,1,常時,自動成功,自身,なし,2,あなたは迫害状態の間、封印兵器を装備して行なう判定の達成値に+2し、恐怖を受けない。,継承者
GF196,継承者,業深き記憶を胸に,なし,1,常時,自動成功,自身,なし,2,あなたがファンブルを発生させるか、対決に敗北した場合、即座に迫害状態となる。迫害状態の間、あなたが受けるダメージを-[【技術B】または【肉体B】]する。,継承者
GF196,継承者,罪深き兵器,なし,1,効果参照,自動成功,自身,なし,2,あなたが罪を獲得した直後に使用する。そのシナリオの間、封印兵器を装備中あなたの【肉体】または【技術】を+1する（【FP】は変化しない。）1シーン1回まで使用でき、複数回使用した場合、この効果は3回まで重複する。,継承者
GF196,継承者,平和への祈り,魔獣,3,常時,自動成功,自身,なし,2,封印兵器を装備中、あなたの【FP】と【FP】最大値を+[Lv×10]する。迫害状態の間、あなたは翻弄を受けない。,継承者
GF196,継承者,蘇る悪夢,魔獣、攻撃,5,メジャー,【白兵】【射撃】,単体,武器,3,封印兵器を装備中のみ使用できる。対象に白兵攻撃か射撃攻撃を行なう。この攻撃のダメージに+[Lv+1]D6し、攻撃後あなたは迫害状態となる。,継承者
GF196,継承者,人が、安心して眠るために,20、魔獣,1,DR直前,自動成功,単体,シーン,愛,対象が行なう攻撃のダメージを+「あなたが持つ絆の数×5」、または-[あなたが持つ絆の数×5]する。迫害状態かつ封印兵器を装備中、1シナリオ1回まで使用でき、《禁断の超兵器》のダメージは増加できない。,継承者
GF196,継承者,禁断の超兵器,純血、20,5,メジャー,【技術】,シーン,シーン,罪,対象に[【技術】+（Lv×2）D6]のダメージを与える特殊攻撃を行なう。対象は【技術】でドッジを行なう。1点でもダメージを与えた場合、さらに邪毒[Lv×2+2]を与える。1シナリオ1回まで使用でき、使用宣言時あなたは即座に迫害状態となる。,継承者
